time;time_msc;last;volume;buy;sell;m1_lower;m2_lower;m3_lower;is_lower;rsi2;rsi1;rsi0;rsi2_long;rsi1_long;rsi0_long;std2;std1;std0;std2_long;std1_long;std0_long
2022.09.20 17:27:00;1663694820004;3865.5;1;0;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:00;1663694820938;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:01;1663694821083;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:01;1663694821142;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:01;1663694821230;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;2;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;3;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822139;3865.25;1;0;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822254;3865.25;4;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822926;3865.0;3;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;3;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;2;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822927;3865.0;2;0;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822959;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822959;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822959;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;4;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;1;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822960;3865.0;1;0;0;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
2022.09.20 17:27:02;1663694822963;3865.0;1;0;1;1;1;1;1;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528
