total_volume;buy_volume;sell_volume;buy_ratio;sell_ratio;volume_mean;buy_mean;sell_mean;volatility;is_lower;rsi2;rsi1;rsi0;rsi2_long;rsi1_long;rsi0_long;std2;std1;std0;std2_long;std1_long;std0_long;len
21662.0;8619.0;11137.0;0.39788569845812943;0.5141261194718862;1.3716203381244856;1.3969205834683955;1.3838220675944335;0.002391973364251032;0.0;17.37764861004841;12.754404102807726;8.123320246066811;17.37764861004841;12.754404102807726;8.123320246066811;2.5522321385189257;2.071633815776009;1.7440374613713625;2.5522321385189257;2.071633815776009;1.7440374613713625;15793.0
23677.0;9893.0;11995.0;0.4178316509692951;0.5066097900916501;1.4143966547192353;1.4341838213975064;1.4170112226816303;0.0027177894347756395;0.0;40.55094347813598;9.990851663584865;9.480514090630775;40.55094347813598;9.990851663584865;9.480514090630775;0.408248290463863;2.3658449277630647;2.5358540091171564;0.408248290463863;2.3658449277630647;2.5358540091171564;16740.0
16491.0;6054.0;9587.0;0.36710933236310717;0.581347401613001;1.7032637884734558;1.6536465446599289;1.768166728144596;0.002266587823362076;1.0;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528;9682.0
23871.0;9353.0;13335.0;0.3918143353860333;0.5586276234761844;1.7804878048780488;1.7285159859545371;1.8515690086087198;0.0025922603828975664;1.0;11.412086408760686;4.330030467097288;2.107093793349378;11.412086408760686;4.330030467097288;2.107093793349378;1.7360555546666383;1.9685019685029528;3.26811192518793;1.7360555546666383;1.9685019685029528;3.26811192518793;13407.0
16661.0;6651.0;9096.0;0.399195726547026;0.5459456215113139;1.709697280656747;1.727083874318359;1.7325714285714287;0.001947095001192733;1.0;13.478568055100029;5.430511403579118;2.7467427506507107;13.478568055100029;5.430511403579118;2.7467427506507107;0.8249579113843055;1.6708281379802852;2.3481671339342283;0.8249579113843055;1.6708281379802852;2.3481671339342283;9745.0
13311.0;5772.0;6691.0;0.4336263240928555;0.5026669671700098;1.6054758171511276;1.6486718080548415;1.6099615014436959;0.0014289750805068604;0.0;54.33820770903733;37.84038854305443;21.25004136752973;54.33820770903733;37.84038854305443;21.25004136752973;1.224744871391589;1.2304019216861168;1.9614337159899704;1.224744871391589;1.2304019216861168;1.9614337159899704;8291.0
12370.0;5048.0;6635.0;0.40808407437348426;0.5363783346806791;1.5907921810699588;1.6268127618433774;1.5984100216815225;0.0012348725314898599;1.0;21.25004136752973;29.028989645500214;20.09605902475204;21.25004136752973;29.028989645500214;20.09605902475204;1.9614337159899704;1.3123346456686351;0.6236095644623235;1.9614337159899704;1.3123346456686351;0.6236095644623235;7776.0
10927.0;4820.0;5454.0;0.441109179097648;0.4991305939416125;1.585461404526988;1.6185359301544662;1.5975395430579964;0.0009101341219703479;0.0;29.028989645500214;20.09605902475204;15.367196528874118;29.028989645500214;20.09605902475204;15.367196528874118;1.3123346456686351;0.6236095644623235;1.0274023338281628;1.3123346456686351;0.6236095644623235;1.0274023338281628;6892.0
34351.0;13279.0;15784.0;0.386568076620768;0.45949171785391985;1.4540721300372503;1.4999435219699537;1.4244201786842343;0.0109558521317548;1.0;39.713233847844215;69.63306667923003;7.622131740420542;39.713233847844215;69.63306667923003;7.622131740420542;1.136515141415488;1.504622507105649;17.265492238051664;1.136515141415488;1.504622507105649;17.265492238051664;23624.0
58341.0;22563.0;27317.0;0.38674345657427883;0.46822988978591384;1.16682;1.1972937118599098;1.1582361670553318;0.007057990569208835;1.0;19.720490580375863;15.769328853965805;9.037849877880332;19.720490580375863;15.769328853965805;9.037849877880332;4.320493798938574;6.5074743351182125;8.407172863427727;4.320493798938574;6.5074743351182125;8.407172863427727;50000.0
14312.0;5589.0;7079.0;0.3905114589155953;0.49461989938513135;1.2885567660034212;1.2679219600725953;1.3182495344506517;0.001987142216001172;1.0;35.92138599479087;35.92138599479087;13.563178667671068;35.92138599479087;35.92138599479087;13.563178667671068;1.1960583412006105;1.0606601717798212;2.0034692133618845;1.1960583412006105;1.0606601717798212;2.0034692133618845;11107.0
17912.0;7343.0;9000.0;0.40994863778472534;0.5024564537740063;1.376469684161992;1.3862563715310554;1.3972985561248252;0.0018557725558831812;1.0;35.92138599479087;13.563178667671068;12.220853410483612;35.92138599479087;13.563178667671068;12.220853410483612;1.0606601717798212;2.0034692133618845;2.131118642090737;1.0606601717798212;2.0034692133618845;2.131118642090737;13013.0
15282.0;6898.0;7068.0;0.45138070933123936;0.4625049077345897;1.316846186988367;1.3470025385666862;1.3208746028779668;0.001061236761824401;0.0;30.774752703464287;19.68602051884099;11.206440897133971;30.774752703464287;19.68602051884099;11.206440897133971;0.3118047822311617;0.5137011669140814;1.2304019216861166;0.3118047822311617;0.5137011669140814;1.2304019216861166;11605.0
15976.0;6542.0;7938.0;0.4094892338507762;0.4968703054581873;1.3534395120298204;1.3948827292110875;1.3529913073120845;0.002056737408472195;1.0;31.097202563502165;24.912364776299484;16.36732608237213;31.097202563502165;24.912364776299484;16.36732608237213;1.3281147875424355;1.81429508808977;1.136515141415488;1.3281147875424355;1.81429508808977;1.136515141415488;11804.0
29518.0;12788.0;14465.0;0.4332271834135104;0.49003997560810353;1.4468898583402774;1.455497382198953;1.4736145069274653;0.0014168873675859802;0.0;13.890601429681707;12.6190735602636;5.0267405554375415;13.890601429681707;12.6190735602636;5.0267405554375415;1.0069204977995478;0.2041241452319315;1.3591255358583407;1.0069204977995478;0.2041241452319315;1.3591255358583407;20401.0
