open_2;high_2;low_2;close_2;diff_h_l_2;diff_o_c_2;diff_h_o_2;diff_c_l_2;vol_total_2;vol_buy_2;vol_sell_2;vol_other_2;nb_tick_total_2;nb_tick_buy_2;nb_tick_sell_2;nb_tick_other_2;nb_price_changed_2;open_1;high_1;low_1;close_1;diff_h_l_1;diff_o_c_1;diff_h_o_1;diff_c_l_1;vol_total_1;vol_buy_1;vol_sell_1;vol_other_1;nb_tick_total_1;nb_tick_buy_1;nb_tick_sell_1;nb_tick_other_1;nb_price_changed_1;open_0;high_0;low_0;close_0;diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;ratio_diff_h_l_0;ratio_diff_o_c_0;ratio_diff_h_o_0;ratio_diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;ratio_vol_buy_0;ratio_vol_sell_0;ratio_vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;ratio_nb_tick_buy_0;ratio_nb_tick_sell_0;ratio_nb_tick_other_0;nb_price_changed_0;ratio_nb_price_changed_0;ratio_diff_h_l_2to0;rsi2;rsi1;rsi0;rsi2_long;rsi1_long;rsi0_long;std2;std1;std0;std2_long;std1_long;std0_long;diff_h_l_20;diff_h_l_10;is_lower
3870.75;3872.0;3866.5;3867.5;5.5;3.25;1.25;1.0;7738.0;3200.0;3771.0;794.0;5667.0;2286.0;2768.0;634.0;323.0;3867.5;3869.25;3865.5;3865.75;3.75;1.75;1.75;0.25;6046.0;2423.0;3054.0;613.0;4458.0;1750.0;2219.0;527.0;211.0;3865.75;3866.75;3862.75;3863.25;4.0;2.5;1.0;0.5;0.0010355316807973594;0.0006471235358830001;0.0002586820151328979;0.00012944146009966992;7878.0;2996.0;4312.0;631.0;0.3802995684183803;0.5473470423965473;0.0800964711855801;5668.0;2134.0;3061.0;509.0;0.37649964714184897;0.5400494001411432;0.08980239943542696;308.0;0.05434015525758645;0.0023946670118438936;17.37764861004841;12.754404102807726;8.123320246066811;17.37764861004841;12.754404102807726;8.123320246066811;2.5522321385189257;2.071633815776009;1.7440374613713625;2.5522321385189257;2.071633815776009;1.7440374613713625;9.25;6.5;0.0
3867.25;3869.5;3865.5;3867.75;4.0;-0.5;2.25;2.25;5399.0;2599.0;2296.0;539.0;4076.0;1923.0;1748.0;435.0;212.0;3867.75;3868.0;3862.5;3862.5;5.5;5.25;0.25;0.0;6553.0;2376.0;3555.0;649.0;4602.0;1584.0;2554.0;485.0;262.0;3862.5;3863.25;3859.0;3862.25;4.25;0.25;0.75;3.25;0.0011013215859030838;6.472910868017347e-05;0.0001941747572815534;0.0008421870951023582;11725.0;4918.0;6144.0;747.0;0.4194456289978678;0.5240085287846482;0.06371002132196162;8062.0;3391.0;4163.0;571.0;0.42061523195236916;0.5163731084098239;0.07082609774249565;430.0;0.05333664103200198;0.0027209121534076184;40.55094347813598;9.990851663584865;9.480514090630775;40.55094347813598;9.990851663584865;9.480514090630775;0.408248290463863;2.3658449277630647;2.5358540091171564;0.408248290463863;2.3658449277630647;2.5358540091171564;10.5;9.0;0.0
3865.5;3865.5;3862.0;3862.25;3.5;3.25;0.0;0.25;3265.0;1196.0;1794.0;281.0;2081.0;763.0;1136.0;188.0;99.0;3862.25;3863.5;3861.25;3861.5;2.25;0.75;1.25;0.25;2786.0;1128.0;1450.0;214.0;1764.0;726.0;884.0;159.0;87.0;3861.5;3861.5;3856.75;3857.75;4.75;3.75;0.0;1.0;0.0012316069229273351;0.0009720692113278465;0.0;0.00025928566798470216;10440.0;3730.0;6343.0;390.0;0.35727969348659006;0.6075670498084291;0.03735632183908046;5837.0;2172.0;3402.0;279.0;0.37210896008223404;0.5828336474216207;0.047798526640397465;317.0;0.054308720232996405;0.0022687495948661438;14.594872417952203;11.412086408760686;4.330030467097288;14.594872417952203;11.412086408760686;4.330030467097288;1.4766704288891126;1.7360555546666383;1.9685019685029528;1.4766704288891126;1.7360555546666383;1.9685019685029528;8.75;6.75;1.0
3862.25;3863.5;3861.25;3861.5;2.25;0.75;1.25;0.25;2786.0;1128.0;1450.0;214.0;1764.0;726.0;884.0;159.0;87.0;3861.5;3861.5;3856.75;3857.75;4.75;3.75;0.0;1.0;10440.0;3730.0;6343.0;390.0;5837.0;2172.0;3402.0;279.0;317.0;3857.75;3857.75;3853.5;3853.5;4.25;4.25;0.0;0.0;0.0011028934734656805;0.0011028934734656805;0.0;0.0;10645.0;4495.0;5542.0;644.0;0.42226397369657115;0.5206200093940817;0.060497886331611087;5806.0;2513.0;2916.0;394.0;0.4328281088529108;0.5022390630382363;0.06786083362039269;316.0;0.054426455390974855;0.002595043466978072;11.412086408760686;4.330030467097288;2.107093793349378;11.412086408760686;4.330030467097288;2.107093793349378;1.7360555546666383;1.9685019685029528;3.26811192518793;1.7360555546666383;1.9685019685029528;3.26811192518793;10.0;8.0;1.0
3855.75;3856.0;3853.5;3854.5;2.5;1.25;0.25;1.0;3834.0;1797.0;1759.0;281.0;2344.0;1019.0;1139.0;189.0;133.0;3854.5;3855.0;3851.25;3851.75;3.75;2.75;0.5;0.5;3945.0;1416.0;2282.0;265.0;2436.0;833.0;1410.0;200.0;149.0;3851.75;3852.5;3848.5;3848.75;4.0;3.0;0.75;0.25;0.0010393659867480836;0.0007794738551477752;0.00019471668722009477;6.496037417175523e-05;8882.0;3438.0;5055.0;429.0;0.38707498311191174;0.5691285746453502;0.04829993244764692;4965.0;1999.0;2701.0;288.0;0.4026183282980866;0.5440080563947634;0.05800604229607251;300.0;0.06042296072507553;0.0019488112251526569;13.478568055100029;5.430511403579118;2.7467427506507107;13.478568055100029;5.430511403579118;2.7467427506507107;0.8249579113843055;1.6708281379802852;2.3481671339342283;0.8249579113843055;1.6708281379802852;2.3481671339342283;7.5;6.5;1.0
3847.75;3851.25;3847.5;3850.75;3.75;-3.0;3.5;3.25;4491.0;2353.0;1870.0;279.0;2730.0;1401.0;1131.0;207.0;131.0;3850.75;3851.25;3849.0;3849.0;2.25;1.75;0.5;0.0;3482.0;1467.0;1680.0;349.0;2348.0;944.0;1166.0;248.0;123.0;3848.75;3849.5;3845.75;3846.0;3.75;2.75;0.75;0.25;0.0009751023857505038;0.0007150286011440457;0.0001948684637869438;6.500682571670025e-05;5338.0;1952.0;3141.0;250.0;0.36568002997377297;0.5884226301985762;0.04683402023229674;3213.0;1156.0;1859.0;203.0;0.35978835978835977;0.5785869903516963;0.06318082788671024;211.0;0.06567071272953626;0.0014301501657674055;54.33820770903733;37.84038854305443;21.25004136752973;54.33820770903733;37.84038854305443;21.25004136752973;1.224744871391589;1.2304019216861168;1.9614337159899704;1.224744871391589;1.2304019216861168;1.9614337159899704;5.5;5.5;0.0
3849.0;3849.5;3845.75;3846.0;3.75;3.0;0.5;0.25;5339.0;1952.0;3141.0;251.0;3214.0;1156.0;1859.0;204.0;212.0;3846.0;3847.25;3845.5;3846.5;1.75;-0.5;1.25;1.0;3505.0;1682.0;1609.0;217.0;2239.0;1020.0;1074.0;148.0;140.0;3846.5;3846.5;3844.75;3845.0;1.75;1.5;0.0;0.25;0.0004551661356395084;0.0003901170351105332;0.0;6.502373366278691e-05;3526.0;1414.0;1885.0;232.0;0.4010209869540556;0.5346001134429949;0.06579693703913783;2323.0;927.0;1218.0;182.0;0.3990529487731382;0.524321997417133;0.07834696513129574;124.0;0.05337925096857512;0.0012354509395929513;21.25004136752973;29.028989645500214;20.09605902475204;21.25004136752973;29.028989645500214;20.09605902475204;1.9614337159899704;1.3123346456686351;0.6236095644623235;1.9614337159899704;1.3123346456686351;0.6236095644623235;4.75;2.5;1.0
3846.0;3847.25;3845.5;3846.5;1.75;-0.5;1.25;1.0;3505.0;1682.0;1609.0;217.0;2239.0;1020.0;1074.0;148.0;140.0;3846.5;3846.5;3844.75;3845.0;1.75;1.5;0.0;0.25;3526.0;1414.0;1885.0;232.0;2323.0;927.0;1218.0;182.0;124.0;3845.0;3845.75;3843.75;3844.0;2.0;1.0;0.75;0.25;0.0005203252032520325;0.00026014568158168577;0.0001950585175552666;6.504065040650406e-05;3896.0;1724.0;1960.0;239.0;0.44250513347022585;0.5030800821355236;0.061344969199178645;2330.0;1031.0;1122.0;184.0;0.4424892703862661;0.4815450643776824;0.07896995708154507;142.0;0.06094420600858369;0.0009105691056910569;29.028989645500214;20.09605902475204;15.367196528874118;29.028989645500214;20.09605902475204;15.367196528874118;1.3123346456686351;0.6236095644623235;1.0274023338281628;1.3123346456686351;0.6236095644623235;1.0274023338281628;3.5;2.75;0.0
3901.0;3902.5;3898.25;3898.25;4.25;2.75;1.5;0.0;1969.0;977.0;772.0;242.0;1444.0;565.0;681.0;219.0;181.0;3898.25;3905.0;3897.5;3901.75;7.5;-3.5;6.75;4.25;2534.0;1393.0;797.0;417.0;1727.0;855.0;603.0;315.0;344.0;3901.75;3904.0;3862.5;3863.5;41.5;38.25;2.25;1.0;0.010744336569579288;0.00990034942409732;0.0005766643172935221;0.0002588996763754045;29848.0;10909.0;14215.0;5503.0;0.3654851246314661;0.4762463146609488;0.1843674618064862;20453.0;7433.0;9797.0;3792.0;0.3634185694030216;0.4790006356035789;0.18540067471764532;5073.0;0.2480320735344448;0.010355987055016181;39.713233847844215;69.63306667923003;7.622131740420542;39.713233847844215;69.63306667923003;7.622131740420542;1.136515141415488;1.504622507105649;17.265492238051664;1.136515141415488;1.504622507105649;17.265492238051664;40.0;42.5;1.0
3871.5;3876.0;3859.75;3861.5;16.25;10.0;4.5;1.75;22922.0;8646.0;10480.0;4000.0;19755.0;7316.0;9140.0;3492.0;1975.0;3861.5;3862.75;3854.75;3855.75;8.0;5.75;1.25;1.0;23554.0;9520.0;10976.0;3283.0;20166.0;7728.0;9590.0;3052.0;1568.0;3855.5;3858.0;3848.75;3848.75;9.25;6.75;2.5;0.0;0.0024033777200389737;0.0017538161740824944;0.0006484243288808196;0.0;11865.0;4397.0;5861.0;1730.0;0.3705857564264644;0.4939738727349347;0.1458069953645175;10079.0;3801.0;4855.0;1543.0;0.37712074610576446;0.4816946125607699;0.15309058438337136;911.0;0.0903859509872011;0.007080220850925625;19.720490580375863;15.769328853965805;9.037849877880332;19.720490580375863;15.769328853965805;9.037849877880332;4.320493798938574;6.5074743351182125;8.407172863427727;4.320493798938574;6.5074743351182125;8.407172863427727;27.25;14.0;1.0
