diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;nb_price_changed_0;nb_tick_buy_vol_eq_1;nb_tick_sell_vol_eq_1;nb_tick_other_vol_eq_1;nb_tick_buy_vol_2_5;nb_tick_sell_vol_2_5;nb_tick_other_vol_2_5diff_open_low_m1;nb_tick_other_vol_2_5;diff_open_low_m1
4.25;3.0;0.0;1.25;4108.0;1051.0;2655.0;426.0;2038.0;517.0;1313.0;223.0;197.0;274.0;847.0;139.0;217.0;394.0;;73.0;0.25
7.0;7.0;0.0;0.0;4435.0;1199.0;2220.0;1098.0;2737.0;697.0;1352.0;700.0;275.0;471.0;894.0;494.0;221.0;434.0;;203.0;3.75
5.75;0.25;2.0;3.5;10620.0;3904.0;5073.0;1725.0;6708.0;2395.0;3253.0;1106.0;785.0;1485.0;2175.0;728.0;866.0;1036.0;;364.0;0.25
5.25;2.25;0.75;2.25;5988.0;1966.0;3123.0;942.0;4093.0;1341.0;2082.0;702.0;481.0;916.0;1459.0;540.0;415.0;596.0;;157.0;4.0
6.5;5.5;0.5;0.5;7662.0;2446.0;3593.0;1647.0;4956.0;1562.0;2317.0;1099.0;585.0;1005.0;1581.0;733.0;536.0;702.0;;358.0;0.25
3.25;1.25;1.5;0.5;4281.0;1338.0;1950.0;1021.0;2888.0;849.0;1345.0;712.0;304.0;545.0;938.0;513.0;299.0;400.0;;198.0;2.0
4.25;4.0;0.0;0.25;5999.0;1688.0;3344.0;990.0;3265.0;877.0;1888.0;513.0;413.0;454.0;1241.0;287.0;402.0;590.0;;212.0;1.5
2.75;1.25;1.25;0.25;3282.0;1063.0;1343.0;889.0;1808.0;599.0;769.0;446.0;297.0;372.0;481.0;237.0;216.0;281.0;;202.0;0.5
2.0;1.5;0.0;0.5;2968.0;945.0;1434.0;621.0;1671.0;545.0;836.0;299.0;225.0;338.0;542.0;157.0;198.0;277.0;;126.0;2.25
5.75;5.25;0.25;0.25;4626.0;1245.0;2570.0;858.0;2609.0;632.0;1524.0;470.0;300.0;305.0;979.0;248.0;316.0;514.0;;216.0;0.5
2.25;0.5;1.75;0.0;1962.0;628.0;741.0;613.0;1098.0;364.0;411.0;334.0;129.0;212.0;230.0;180.0;146.0;173.0;;147.0;0.25
3.25;1.0;1.25;1.0;4821.0;1627.0;1938.0;1299.0;2862.0;949.0;1172.0;763.0;310.0;500.0;663.0;385.0;435.0;493.0;;372.0;2.25
2.25;1.5;0.0;0.75;5121.0;1737.0;2154.0;1275.0;3015.0;1061.0;1281.0;694.0;318.0;606.0;695.0;340.0;437.0;566.0;;334.0;1.25
8.0;6.25;1.25;0.5;13085.0;4191.0;7349.0;1622.0;6691.0;2139.0;3824.0;768.0;687.0;1170.0;2317.0;357.0;881.0;1330.0;;374.0;1.75
11.25;9.25;0.5;1.5;15639.0;4892.0;8783.0;2029.0;8233.0;2543.0;4733.0;988.0;885.0;1447.0;2978.0;514.0;975.0;1520.0;;421.0;3.5
5.5;5.25;0.0;0.25;7609.0;2415.0;3885.0;1401.0;4086.0;1266.0;2140.0;711.0;488.0;688.0;1347.0;390.0;533.0;712.0;;295.0;3.0
