total_volume;buy_volume;sell_volume;buy_ratio;sell_ratio;volume_mean;buy_mean;sell_mean;volatility;is_lower;rsi2;rsi1;rsi0;std2;std1;std0;len
22655.0;8340.0;10803.0;0.3681306554844405;0.4768483778415361;1.278643187718704;1.2640193998181266;1.3017230991685744;0.0036303108233719794;1.0;51.512471674047006;22.648955704793536;12.001514464393082;3.051920501913509;2.371016395978737;2.8933922565044643;17718.0
22493.0;8482.0;10864.0;0.37709509625216736;0.4829947094651669;1.272084605813822;1.2484545186929643;1.3040451326371385;0.004044887653344104;0.0;22.648955704793536;12.001514464393082;7.530031998462036;2.371016395978737;2.8933922565044643;3.913118960624632;17682.0
20828.0;8116.0;10371.0;0.389667754945266;0.49793547148069905;1.2692260816575258;1.2740973312401884;1.294110306962815;0.0026098281218627094;0.0;18.74041742012251;16.15453629287896;9.36811503068222;5.77142746640725;6.134125854594117;6.445735024029455;16410.0
20229.0;8217.0;10006.0;0.4061990212071778;0.49463641307034456;1.3126338329764453;1.3435251798561152;1.321447437929213;0.002405896038341147;0.0;49.488275158924544;28.1967022870446;12.30918587180635;5.43327422002608;4.842584537207381;4.475558624350708;15411.0
27137.0;11625.0;12691.0;0.4283819139919667;0.46766407487931605;1.311980274608393;1.3392857142857142;1.319779534109817;0.0029562979894606307;1.0;23.67853345711562;11.50255950048394;4.989555433132111;3.94025697131545;4.115424492078551;4.83347700935879;20684.0
28756.0;11717.0;14045.0;0.40746279037418276;0.4884198080400612;1.321264473442382;1.3278558476881233;1.3243752946723244;0.0038537990959636365;1.0;11.50255950048394;4.989555433132111;3.409860320790358;4.115424492078551;4.83347700935879;5.74108003776293;21764.0
31274.0;11797.0;16434.0;0.37721429941804696;0.5254844279593273;1.3738962351183939;1.3357110507246377;1.4162357807652535;0.0036506248868010773;0.0;4.989555433132111;3.409860320790358;2.514320987402286;4.83347700935879;5.74108003776293;6.73678103770636;22763.0
16216.0;7040.0;7662.0;0.43413912185495807;0.472496299950666;1.366708807416772;1.3760750586395623;1.3956284153005465;0.0022758503089008553;0.0;33.52643840347166;23.69199595794582;8.584045088405304;5.263732041052243;4.726520919238587;4.46542271235322;11865.0
14480.0;6159.0;6827.0;0.4253453038674033;0.4714779005524862;1.3314942528735632;1.3397868174896672;1.3605021921084097;0.002208451974165681;1.0;73.47806349531497;30.219390986551915;18.341438809335543;2.215675687008367;2.3904432120424866;2.717535648340238;10875.0
17390.0;7176.0;8482.0;0.4126509488211616;0.48775158136860264;1.3570035115099492;1.371559633027523;1.3680645161290323;0.0017963572168062177;0.0;46.83643205845636;27.871227208422425;21.768747615803434;2.8209871942282896;3.157209012719937;3.53984021532046;12815.0
14931.0;5723.0;7935.0;0.38329649722054787;0.531444645368696;1.4395487851908986;1.4120404638539354;1.4642923048532939;0.0020042709198992356;0.0;2.1291760063565874;25.38653030281651;13.859424122852516;3.791355298570684;4.078353681327798;4.603327600768818;10372.0
11516.0;4851.0;5684.0;0.4212400138937131;0.4935741576936436;1.4926766040181465;1.5140449438202248;1.4934314240672621;0.0013831456398126505;0.0;42.05129528860464;27.748167978332432;21.484484823000315;4.696325026017684;4.551167432648464;4.599252656682388;7715.0
6522.0;2487.0;3442.0;0.3813247470101196;0.5277522232444035;1.3693050598362377;1.3964065131948344;1.372955723972876;0.0008998776498333202;1.0;15.768684299569898;36.71047884948489;13.70713891839847;1.2208475539558576;1.239707626821744;1.312440474840669;4763.0
9623.0;4035.0;4693.0;0.41930790813675567;0.4876857528837161;1.3458741258741258;1.3687245590230666;1.3532295271049597;0.0015931124686252751;1.0;65.08854731204592;39.56279231723237;23.657841258928627;2.092247595290768;2.2151467220028564;2.479257701409839;7150.0
7304.0;2967.0;3792.0;0.4062157721796276;0.5191675794085433;1.4185278694892212;1.3858010275572163;1.4789391575663027;0.0009011531629059741;1.0;23.657841258928627;19.294645230870543;10.543918014047634;2.695482331605978;2.814332736191654;2.9209373495506536;5149.0
8864.0;3329.0;4878.0;0.3755640794223827;0.5503158844765343;1.4438833686268122;1.4046413502109705;1.4986175115207374;0.0009707001392451989;1.0;19.294645230870543;10.543918014047634;7.254000915975212;2.814332736191654;2.9209373495506536;3.155451631700286;6139.0
9853.0;3873.0;5328.0;0.3930782502791028;0.540749010453669;1.4955980570734668;1.4604072398190044;1.5443478260869565;0.001040249782057565;0.0;10.543918014047634;7.254000915975212;5.369265677963725;2.9209373495506536;3.155451631700286;3.3499067151190944;6588.0
9605.0;3849.0;5166.0;0.40072878709005727;0.5378448724622592;1.5645870662974426;1.5710204081632653;1.6008676789587852;0.0011099139574866704;0.0;7.254000915975212;5.369265677963725;3.254987645266283;3.155451631700286;3.3499067151190944;3.5614910852057458;6139.0
10369.0;4060.0;5843.0;0.39155174076574406;0.563506606230109;1.7003935716628402;1.7210682492581602;1.7235988200589971;0.0009023863790721489;0.0;22.57366137988876;59.75838761832741;21.89807149093174;3.3504663854454653;3.1058412708958585;3.182250579385602;6098.0
12836.0;4742.0;6862.0;0.3694297288875039;0.5345902150202555;1.5250089105381965;1.5092297899427116;1.5720504009163803;0.0015683778623347;0.0;11.4421407194003;24.629585116098426;13.540005797855258;3.944141224652079;4.278580372039305;4.628900382380246;8417.0
34891.0;14112.0;17269.0;0.40445960276289017;0.4949413888968502;1.513709327548807;1.4719933242933139;1.4977450130095404;0.010011453213571888;1.0;36.405792034656166;25.57484526662239;5.214282227172987;10.237461843640736;7.823082832234359;7.839513298030688;23050.0
